productid,rate,cmt,username
,5,,Hugli Chinsurah
,5,,New Town
,5,,Kolkata
,4,,Alwar
,5,,Dindigul
,5,,Ahmedabad
,5,,Navi Mumbai
,5,,Kolkata
,1,,Tiruchirappalli
,5,,Hailakandi District
,5,,Purba Bardhaman District
,5,,Jamshedpur
,5,,Raighar
,4,,Gwalior
,3,,Hooghly
,5,,Erode
,3,,Allahabad
,5,,Navi Mumbai
,3,,New Delhi
,5,,Begusarai
,5,,Latur District
,5,,Ahmadpur
,5,,Kolkata
,5,,Cuttack
,3,,Naihati
,5,,Agartala
,5,,Osmanabad
,5,,Kolkata
,5,,Firozpur
,5,,New Delhi
,4,,Ahmadnagar
,4,,Hyderabad
,5,,Pakur District
,5,,Chennai
,4,,Aurangabad District
,5,,Darbhanga
,3,,Bhatpar Rani
,5,,Saran District
,5,,Silvassa
,4,,Mumbai
,4,,Deoria
,5,,Gundlupet
,5,,Bargarh District
,4,,Alwar
,5,,Dindigul
,5,,Ahmedabad
,5,,Navi Mumbai
,5,,Kolkata
,1,,Tiruchirappalli
,5,,Hailakandi District
,5,,Purba Bardhaman District
,5,,Jamshedpur
,5,,Raighar
,5,,Cuttack
,3,,Naihati
,5,,Agartala
,5,,Osmanabad
,5,,Kolkata
,5,,Firozpur
,5,,New Delhi
,4,,Ahmadnagar
,4,,Hyderabad
,5,,Pakur District
,5,,Chennai
,4,,Aurangabad District
,5,,Darbhanga
,3,,Bhatpar Rani
,5,,Saran District
,5,,Silvassa
,4,,Mumbai
,4,,Deoria
,5,,Gundlupet
,5,,Bargarh District
,5,,Hugli Chinsurah
,5,,New Town
,5,,Kolkata
,4,,Alwar
,5,,Dindigul
,5,,Ahmedabad
,5,,Navi Mumbai
,5,,Kolkata
,1,,Tiruchirappalli
,5,,Hailakandi District
,5,,Purba Bardhaman District
,5,,Jamshedpur
,5,,Raighar
,5,,Chennai
,4,,Aurangabad District
,5,,Darbhanga
,3,,Bhatpar Rani
,5,,Saran District
,5,,Silvassa
,4,,Mumbai
,4,,Deoria
,5,,Gundlupet
,5,,Bargarh District
,4,,Kanpur
,4,,Kanpur
,5,,Hugli Chinsurah
,5,,New Town
,5,,Kolkata
,5,,Purnia District
,5,,Panna
,1,,Vellore
,5,,Bengaluru
,4,,Thrissur
,5,,Naigaon
,5,,Patna
,5,,Rohtas District
,4,,Madhoganj
,5,,Singrauli District
,5,,Purnia District
,5,,Panna
,1,,Vellore
,5,,Bengaluru
,4,,Thrissur
,5,,Naigaon
,5,,Patna
,5,,Rohtas District
,4,,Madhoganj
,5,,Singrauli District
,5,,Dewas
,2,,Sambalpur
,3,,Agra
,5,,Pune
,1,,Mumbai
,5,,Haridwar
,5,,Sonipat
,5,,Mumbai
,5,,Araria District
,5,,Vidisha
,4,,Bankura District
,4,,Bhatpara
,4,,North Barrackpur
,5,,Gaya
,4,,Bankura
,4,,Kurnool District
,5,,New Delhi
,5,,Chandigarh
,5,,Ausa
,4,,Bangalore
,5,,Berhampore
,3,,Ernakulam
,5,,Gwalior District
,5,,Chalisgaon
,4,,Bankura District
,4,,Bhatpara
,4,,North Barrackpur
,5,,Gaya
,4,,Malda
,5,,Jorhat
,4,,Tirupur
,5,,Darbhanga
,4,,Jhansi
,2,,Ghatal
,5,,Kochi
,4,,Mau District
,5,,Ghaziabad
,4,,Mau District
,3,,South West Delhi
,3,,Faridabad
,5,,Nabagram Colony
,5,,Chittoor
,4,,Jhargam District
,4,,Kolkata
,3,,Kathua
,3,,Siddipet District
,4,,Pimpri Chinchwad
,5,,Pallipalayam
,5,,Dewas
,2,,Sambalpur
,3,,Agra
,5,,Pune
,1,,Mumbai
,5,,Haridwar
,5,,Sonipat
,5,,Mumbai
,5,,Araria District
,5,,Vidisha
,5,,Dewas
,2,,Sambalpur
,3,,Agra
,5,,Pune
,1,,Mumbai
,5,,Haridwar
,5,,Sonipat
,5,,Mumbai
,5,,Araria District
,5,,Vidisha
,4,,Ernakulam
,5,,Kanpur
,5,,Nadiad
,5,,Guwahati
,5,,Davorlim
,5,,Purba Bardhaman District
,5,,Ernakulam
,5,,Khandwa
,4,,Ernakulam
,4,,Chennai
,4,,Aurangabad
,4,,Allahabad
,1,,Kadirur
,4,,Haora District
,5,,Chavara
,4,,Ranirbazar
,1,,Berhampur
,5,,Gopalganj District
,1,,New Delhi
,5,,Bhadrak
,2,,Chennai
,4,,Bokaro Steel City
,5,,Guntur District
,4,,Prayagraj
,4,,Prayagraj
,3,,Chennai
,4,,Thiruverumbur
,3,,Ranipettai
,5,,Bengaluru
,5,,Ludhiana
,5,,Varanasi District
,5,,Mangaluru
,5,,Dahod
,5,,Bokaro Steel City
,3,,Chennai
,4,,Thiruverumbur
,3,,Ranipettai
,5,,Bengaluru
,5,,Ludhiana
,5,,Varanasi District
,5,,Mangaluru
,5,,Dahod
,5,,Bokaro Steel City
,4,,West Delhi
,4,,Prayagraj
,4,,Thiruvananthapuram District
,5,,New Delhi
,5,,Palakkad
,5,,Hugli Chinsurah
,5,,Vijapura
,4,,Kanpur
,4,,Bangaon
,4,,Sindkhed Raja
,4,,Gwalior
,4,,Bankura
,3,,Hooghly
,5,,Erode
,3,,Allahabad
,5,,Navi Mumbai
,3,,New Delhi
,5,,Begusarai
,5,,Latur District
,5,,Ahmadpur
,5,,Kolkata
,4,,Kurnool District
,5,,New Delhi
,5,,Chandigarh
,5,,Ausa
,4,,Bangalore
,5,,Berhampore
,3,,Ernakulam
,5,,Gwalior District
,5,,Chalisgaon
,4,,Haora District
,5,,Bengaluru
,5,,Chavara
,4,,Ranirbazar
,1,,Berhampur
,5,,Gopalganj District
,1,,New Delhi
,5,,Bhadrak
,2,,Chennai
,4,,Bokaro Steel City
,5,,Guntur District
,5,,Chitradurga District
,3,,Patna
,5,,Lucknow
,5,,Uttara Kannada District
,5,,Palakkad District
,5,,Rajgarh Rajgarh District
,4,,Allahabad
,5,,Hyderabad
,5,,Haldia
,5,,Dewas
,2,,Sambalpur
,3,,Agra
,5,,Pune
,1,,Mumbai
,5,,Haridwar
,5,,Sonipat
,5,,Mumbai
,5,,Araria District
,5,,Vidisha
,4,,Jabalpur
,5,,Kollam District
,5,,Madhubani
,4,,Gautam Buddha Nagar
,3,,Mangalam
,5,,Chennai
,5,,Cuttack District
,4,,Vellore
,5,,Samastipur District
,5,,New Delhi
,5,,Bulandshahr District
,4,,Uran Islampur
,5,,Bengaluru
,3,,Shivpuri
,3,,Bhagalpur
,4,,Patna
,5,,Bulandshahr District
,1,,Dharmavaram
,5,,Puri
,4,,Nashik
,5,,Ujjain
,5,,Agra
,5,,Kolkata
,5,,Belagavi
,5,,Rourkela
,4,,Nagpur
,5,,Cuttack
,5,,Prayagraj
,5,,Thagarapuvalasa
,5,,Surat
,5,,Hugli District
,5,,New Delhi
,4,,Allahabad District
,5,,Gandhinagar
,2,,Kanti
,5,,Mumbai
,4,,Thrissur
,5,,Gaya
,5,,Chicholi
,5,,Jamshedpur
,5,,Ghaziabad
,5,,Bengaluru
,4,,Nashik
,5,,Siliguri
,4,,Bharuch
,4,,Patna
,5,,Hassan
,5,,Bhagalpur
,5,,South Twenty Four Parganas District
,4,,New Delhi
,5,,Bulandshahr District
,5,,Bengaluru
,3,,Shivpuri
,3,,Bhagalpur
,4,,Patna
,5,,Bulandshahr District
,1,,Dharmavaram
,5,,Puri
,4,,Nashik
,5,,Ujjain
,4,,Jabalpur
,5,,Kollam District
,5,,Madhubani
,4,,Gautam Buddha Nagar
,3,,Mangalam
,5,,Chennai
,5,,Cuttack District
,4,,Vellore
,5,,Samastipur District
,5,,New Delhi
,5,,Ghaziabad
,5,,Bengaluru
,4,,Nashik
,5,,Siliguri
,4,,Bharuch
,4,,Patna
,5,,Hassan
,5,,Bhagalpur
,5,,South Twenty Four Parganas District
,4,,New Delhi
,4,,Malda
,5,,Jorhat
,4,,Tirupur
,5,,Darbhanga
,4,,Jhansi
,2,,Ghatal
,5,,Kochi
,4,,Mau District
,5,,Ghaziabad
,4,,Mau District
,4,,Malda
,5,,Jorhat
,4,,Tirupur
,5,,Darbhanga
,4,,Jhansi
,2,,Ghatal
,5,,Kochi
,4,,Mau District
,5,,Ghaziabad
,4,,Mau District
,5,,Chennai
,4,,Aurangabad District
,5,,Darbhanga
,3,,Bhatpar Rani
,5,,Saran District
,5,,Silvassa
,4,,Mumbai
,4,,Deoria
,5,,Gundlupet
,5,,Bargarh District
,4,,Bengaluru
,5,,Greater Noida
,5,,Kolkata
,5,,Hyderabad
,5,,Puranpur
,3,,Coimbatore
,5,,Palamu District
,5,,Ozar
,4,,New Delhi
,5,,Kalwakurthy
,4,,West Delhi
,4,,Prayagraj
,4,,Thiruvananthapuram District
,5,,New Delhi
,5,,Palakkad
,5,,Hugli Chinsurah
,5,,Vijapura
,4,,Kanpur
,4,,Bangaon
,4,,Sindkhed Raja
,5,,Bengaluru
,5,,Chitradurga District
,3,,Patna
,5,,Lucknow
,5,,Uttara Kannada District
,5,,Palakkad District
,5,,Rajgarh Rajgarh District
,4,,Allahabad
,5,,Hyderabad
,5,,Haldia
,5,,Nanded
,4,,Baramati
,5,,Idukki
,4,,Sanivarapupeta
,5,,Vizianagaram District
,4,,Nalpur
,4,,Chennai
,5,,Rajgir
,5,,Azamgarh
,5,,Jaipur
,5,,Guwahati
,5,,Davorlim
,5,,Purba Bardhaman District
,5,,Ernakulam
,5,,Khandwa
,4,,Ernakulam
,4,,Chennai
,4,,Aurangabad
,4,,Allahabad
,1,,Kadirur
,4,,Bengaluru
,5,,Greater Noida
,5,,Kolkata
,5,,Hyderabad
,5,,Puranpur
,3,,Coimbatore
,5,,Palamu District
,5,,Ozar
,4,,New Delhi
,5,,Kalwakurthy
,4,,Uran Islampur
,5,,Agra
,5,,Kolkata
,5,,Belagavi
,5,,Rourkela
,4,,Nagpur
,5,,Cuttack
,5,,Prayagraj
,5,,Thagarapuvalasa
,5,,Surat
,3,,Bankura
,5,,Hugli District
,3,,Ganjam District
,4,,East Godavari District
,3,,"Chikmagalur,"
,5,,Uluberia
,4,,Berhampore
,4,,Singnapur Kopargaon
,4,,Salempur
,1,,Durg
,5,,Ahmedabad
,5,,New Delhi
,4,,Allahabad District
,5,,Gandhinagar
,2,,Kanti
,5,,Mumbai
,4,,Thrissur
,5,,Gaya
,5,,Chicholi
,5,,Jamshedpur
,3,,Saran District
,5,,Vaghodia
,5,,Walajabad
,4,,New Delhi
,5,,Howrah
,4,,North Twenty Four Parganas District
,5,,Rajkot
,5,,Chandigarh
,5,,Jharsuguda
,4,,Pune
,3,,Bankura
,3,,Ganjam District
,4,,East Godavari District
,3,,"Chikmagalur,"
,5,,Uluberia
,4,,Berhampore
,4,,Singnapur Kopargaon
,4,,Salempur
,1,,Durg
,5,,Ahmedabad
,3,,Saran District
,5,,Vaghodia
,5,,Walajabad
,4,,New Delhi
,5,,Howrah
,4,,North Twenty Four Parganas District
,5,,Rajkot
,5,,Chandigarh
,5,,Jharsuguda
,4,,Pune
,5,,Vazhakulam
,3,,Pune
,5,,Varanasi
,5,,Ghaziabad
,5,,Purba Bardhaman District
,5,,Bangaon
,4,,New Delhi
,5,,Imphal
,5,,New Delhi
,4,,Banki
,4,,Puri
,5,,Manesar
,4,,Samastipur District
,4,,Nanded District
,5,,Howrah
,4,,Konch
,5,,Karari Chandpur
,5,,Purba Bardhaman District
,5,,Dakshin Dinajpur District
,4,,Betul District
,5,,Kunnummal
,5,,Varanasi
,5,,Birbhum District
,4,,Jamshedpur
,4,,Kolkata
