name,price,img,MSRP,rate,rating,review,url
acer Aspire 3 Dual Core 3020e - (4 GB/256 GB SSD/Windows 11 Home) A314-22 Laptop,"26,990",https://rukminim1.flixcart.com/image/312/312/l1fc0i80/computer/v/h/e/-original-imagczgsyhftj2zz.jpeg?q=70,"34,990",3.3,3 Ratings,1 Reviews,https://www.flipkart.com/acer-aspire-3-dual-core-3020e-4-gb-256-gb-ssd-windows-11-home-a314-22-laptop/p/itm07e718a865608?pid=COMGBNUMF8CDJZFH&lid=LSTCOMGBNUMF8CDJZFHRBQKKX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_LqHZ6RIaX%2FpcqghNxzvomZB4BZus%2B8Hs3vU0DxyhcZuOkkdrRHrt7URfyugvrSMkDdEfj69RSmR5DXFheZ2LmQ%3D%3D&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
acer Aspire 3 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop,"42,990",https://rukminim1.flixcart.com/image/312/312/ktketu80/computer/n/r/0/a315-23-laptop-acer-original-imag6w27yw7bmdz5.jpeg?q=70,"56,990",4.3,7 Ratings,2 Reviews,https://www.flipkart.com/acer-aspire-3-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-a315-23-laptop/p/itm3ea59049bce25?pid=COMG8ZYESERNZFZC&lid=LSTCOMG8ZYESERNZFZCK69EF9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_LqHZ6RIaX%2FpcqghNxzvomZB4BZus%2B8Hs3vU0DxyhcZvDagb0hR6SGPgOUGqIB2cYnYfgwhQjEBH2x7mXmOHhvg%3D%3D&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"34,490",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,"57,990",4.4,"2,374 Ratings",259 Reviews,https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itmd1871bfcde765?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQGXUICJF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMG6AKVAHWTHAQG.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,"38,990",https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,"64,490",4.4,410 Ratings,45 Reviews,https://www.flipkart.com/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm97b9c72c92383?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMG9VHHG6Q3RRJX.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop,"42,990",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/s/k/0/-original-imagdus5mrsgjepa.jpeg?q=70,"51,748",4.4,559 Ratings,52 Reviews,https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2629tu-thin-light-laptop/p/itm00019d89927f7?pid=COMGBH9JZ4ZFH9GH&lid=LSTCOMGBH9JZ4ZFH9GHN7FV3Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMGBH9JZ4ZFH9GH.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,"34,990",https://rukminim1.flixcart.com/image/312/312/ktaeqvk0/computer/b/7/4/15s-gy0501au-thin-and-light-laptop-hp-original-imag6z6muntqnzzc.jpeg?q=70,"46,055",4.3,"2,398 Ratings",258 Reviews,https://www.flipkart.com/hp-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-10-home-15s-gy0501au-thin-light-laptop/p/itmcc3db7767aba4?pid=COMG6MVEA2PWVH3B&lid=LSTCOMG6MVEA2PWVH3BKQQW7V&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMG6MVEA2PWVH3B.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
MSI Modern 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B4MW-423IN Thin an...,"47,990",https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/computer/t/m/1/modern-14-b4mw-410in-notebook-msi-original-imag2km2armfgmhp.jpeg?q=70,"61,990",4.6,620 Ratings,98 Reviews,https://www.flipkart.com/msi-modern-14-ryzen-5-hexa-core-4500u-8-gb-512-gb-ssd-windows-10-home-b4mw-423in-thin-light-laptop/p/itmc2074b83b6a54?pid=COMG483FQ7YHK7GP&lid=LSTCOMG483FQ7YHK7GP6HDKFB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMG483FQ7YHK7GP.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop,"35,990",https://rukminim1.flixcart.com/image/312/312/kybvo280/computer/c/u/5/-original-imagah7xqmwnt2x6.jpeg?q=70,"44,999",4.3,65 Ratings,12 Reviews,https://www.flipkart.com/acer-aspire-3-ryzen-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-a315-23-laptop/p/itmb8fe582c41a06?pid=COMGBF6ZPSEYQ4Z3&lid=LSTCOMGBF6ZPSEYQ4Z39H0L9G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_LqHZ6RIaX%2FpcqghNxzvomZB4BZus%2B8Hs3vU0DxyhcZvko8mo%2BPm81JcMIM4yTt9ceTRlwcrWr7rBnqIfy5Cfjw%3D%3D&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop,"54,990",https://rukminim1.flixcart.com/image/312/312/l2jcccw0/computer/s/k/0/-original-imagdus5mrsgjepa.jpeg?q=70,"70,171",4.2,284 Ratings,39 Reviews,https://www.flipkart.com/hp-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq4021tu-thin-light-laptop/p/itm5b9f6ea155373?pid=COMGAX8FPCZDVFES&lid=LSTCOMGAX8FPCZDVFESAYVAKE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMGAX8FPCZDVFES.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2627TU Thin and Light Laptop,"39,990",https://rukminim1.flixcart.com/image/312/312/kzrbiq80/computer/v/d/d/15s-fq2626tu-thin-and-light-laptop-hp-original-imagbpb2sztfprgz.jpeg?q=70,"51,506",4.5,27 Ratings,4 Reviews,https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2627tu-thin-light-laptop/p/itmace78bd024684?pid=COMGCGSTPGZJKC6F&lid=LSTCOMGCGSTPGZJKC6FBXPL6A&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=077f49be-7664-43f1-80b8-b736c185e9ce.COMGCGSTPGZJKC6F.SEARCH&ppt=None&ppn=None&ssid=knvsye1mhs0000001651491300215&qH=312f91285e048e09
